cod_mun,n_dom_amostra,n_pes_amostra,dom_pond,pop_pond,a11_adensamento,a12_proprio_quit,a13_alugado,a15_moradores,a15z_v005_familia,a16_com_criancas,a17_resp_mulher,a18_idade_resp,a2_agua_rede,a22_energia,a23_esgoto_adeq,a24_duravel,a25_urbano,a26_radio,a27_geladeira,a28_televisao,a29_automovel,a3_agua_dentro,a30_fogao_lenha,a4_esgoto_rede,a5_esgoto_inadeq,a7b_sem_banheiro,b1_alfabetizacao,b10_sem_instrucao,b11_alfab_resp,b1z_alfab_naonulo_15mais,b1z_alfab_naonulo_5a14,b1z_alfab_naonulo_geral,b2_analf_60mais,b3_freq_6a14,b3z_v036_igual_0,b4_freq_15a17,b8_superior_comp,c1_participacao,c13_beneficio,c2_desocupacao,c2z_v047_naonulo,c3_ocupacao,d3_envelhecimento,d5_pop_0a5,d6_pop_65mais,d7_razao_sexo,d7z_filhos_no_sexo_0,e1_nao_natural,e2_migrante_5anos,e3_estrangeiro,e4b_trab_estuda_outro_mun,f1_tamanho_familia
2413706,235,1279,854,4796,48.48,49.65,2.34,5.47,5.38,77.13,8.07,44.97,0,8.67,0,65.93,22.83,18.85,1.41,0,0,0,78.92,0,18.5,81.5,33.64,73.82,27.98,100,100,81.67,82.21,31.13,0,25.56,0,44.74,0.47,0.21,29.5,44.64,0.08,22.06,3.84,0.97,0,13.26,3.47,0,3.26,5.35
2413805,74,485,274,1719,52.19,87.23,0,6.35,6.56,86.62,8.8,43.91,0,0,0,90.51,21.53,30.29,3.28,0,1.09,0,92.34,0,4.74,95.26,40.53,64.3,35.81,100,100,80.74,67.31,46.9,0,25.68,0,38.76,0,0,25.19,38.76,0.08,22.45,3.78,1.09,0,20.36,3.6,0,2.19,6.35
2413904,499,2785,1779,9758,50.14,52.89,2.92,5.6,5.41,71.68,10.29,44.87,0.28,5.85,1.12,53.96,24.68,21.92,1.57,0.22,0.45,1.46,85.83,0,18.1,80.78,31.84,74.96,26.8,100,100,82.24,86.16,38.35,0,32.91,0,42.14,0.11,1.77,27.81,41.39,0.1,21.93,4.46,1,0,13.88,4.13,0,4.48,5.27
2414001,306,1870,1244,7427,48.55,45.58,10.61,6.08,5.88,79.92,10.91,45.03,0,15.68,0.64,64.23,45.26,28.62,4.82,0.64,0.88,0.64,66.4,0,35.05,64.31,32.79,72.55,28.95,100,100,82.56,88.35,34.28,0,26.77,0,43.43,2.33,4.38,28.3,41.53,0.06,21.22,3.07,0.97,0,31.41,12.49,0,3.05,5.73
2414100,321,1957,1204,7414,58.97,54.07,3.9,5.94,6.13,81.89,5.2,43.46,0,8.8,0,76.5,27.82,26.74,1.58,0.33,1.58,0,85.8,0,12.29,87.71,44.02,64.2,38.54,100,100,81.47,83.66,53.93,0,35.88,0,38.76,0.39,0,25.47,38.76,0.05,21.99,2.57,0.98,0,15.43,5.34,0,1.93,5.89
2414209,192,913,807,3897,47.71,84.76,2.48,4.73,4.73,76.33,21.38,44.29,0,1.36,0,48.82,15.61,14.62,0.62,0,0.74,0.5,67.41,0,17.47,82.53,26.78,81.1,24.76,100,100,83.86,79.37,37.72,0,26.98,0,37.29,0.95,7.81,26.28,34.38,0.09,19.17,3.94,0.99,0,9.98,3.71,0,0,4.73
2414308,72,410,269,1584,44.98,54.65,4.46,5.81,5.56,77.03,14.19,48.54,0,9.67,0,89.22,38.29,45.72,6.69,0,5.95,0,86.62,0,28.62,71.38,54.27,59.56,45.84,100,100,81.94,49.6,58.65,0,29.47,0,42.82,0.83,0,29.17,42.82,0.13,20.45,5.87,1.01,0,6.82,1.93,0,0,5.65
2414407,1059,5572,3618,19442,46.79,78.72,1.19,5.26,5.01,75.83,10.09,45.68,0.53,5.47,0.8,30.51,10.78,17.32,1.77,0.08,0.77,3.76,61.39,0,23.58,75.62,21.27,84.1,19,100,100,81.97,90.84,39.66,0,21.75,0.14,41.08,0.3,0.07,27.49,41.05,0.08,21.33,3.7,1.02,0,14.16,5.07,0.09,0.5,4.92
2414506,324,1812,1323,8102,55.56,53.06,5.37,5.61,5.5,77.61,7.78,44.1,0,6.95,0.23,48.3,25.4,26.08,4.23,0,1.36,0.23,85.87,0,27.29,72.49,46.86,66.88,42.64,100,100,82.73,84.33,48.97,0,44.02,0.78,36.67,0.07,0.79,24.85,36.38,0.1,21.03,4.6,1.01,0,5,2.28,0,1.18,5.41
2414605,322,1759,1189,6530,51.72,68.63,5.05,5.49,5.25,73.78,11.62,47.72,2.78,0.59,0.34,50.13,31.46,14.97,0,0,0.59,0.34,53.15,0,12.53,87.13,35.49,77.55,29.81,100,100,83.02,84.24,55.6,0,28.49,0,42.6,0.25,0,28.21,42.6,0.12,20.57,5.31,0.99,0,15.74,8.37,0,1.49,5.21
2414704,381,2146,1297,7120,50.66,84.04,3.24,5.51,5.52,77.44,11.31,45.2,0,2.62,0,33.85,35.85,23.44,0.69,0,0.23,0,78.03,0,20.66,79.34,38.84,71.54,37.45,100,100,82.88,84.47,67.16,0,47.93,0,43.34,0.21,1.03,28.69,42.89,0.07,20.7,3.49,1.01,0,8.48,2.95,0,1.59,5.33
2414803,234,1240,910,4857,58.9,85.38,2.97,5.31,5.18,72.38,13.54,44.96,0,7.47,0,58.02,28.68,18.46,1.32,0,0,0,72.09,0,36.81,63.19,22.32,90.13,17.92,100,100,81.55,90.64,30.78,0,24.68,0,39.45,0.25,1.42,26.13,38.89,0.07,21.53,3.38,1.01,0,12,5.74,0,1.75,5.14
2414902,52,323,133,874,69.17,46.62,4.51,6.27,6.08,83.45,10.79,42.01,0,0,0,96.24,41.35,24.81,3.01,0,0,0,95.49,0,0,100,33.56,73.03,33.24,100,100,80.89,79.31,52.17,0,24.29,0,44.68,0,0,28.83,44.68,0.06,23.23,3.09,0.98,0,19.79,5.23,0,0,5.82
